ID,Sex,Length,Width,Weight,Colour,Meral Measured?,White included?,egg weight,
NB40,F,19.30,1.80,0.17,Brown white dots,Y,All white (diff spp),,
NO11,F,38.45,5.00,1.12,sandy,y,No,,
NO12,F,40.65,5.20,1.44,green,Y,No,,
NO13,F,21.10,2.00,0.23,sandy,Y,Yes,,
NO14,M,19.75,2.10,0.19,sandy,Y ,Yes,,
NO15,F,28.75,4.75,0.52,green,Y,Maybe,,
NO16,F,28.00,3.10,0.55,sandy,Y,No,,
NO17,M,33.60,4.35,0.84,Green/crème speckled,Y,No,,
NO18,F,19.65,2.80,0.15,sandy,Y,Yes,Most of spot was white,
NO19,F,54.20,8.85,3.35,green,Y,No,,"well dvlpd ovaries, paler purple meral"
NO20,M,25.55,3.65,0.46,Green/crème speckled,Y,No,black mark on anterior abdomen. Disease?,
NO21,F,46.45,8.25,2.34,green,Y,No,black mark on leg and 3rd last abdomen segment,"well dvlpd ovaries, paler purple meral"
NO22,M,24.30,3.85,0.37,sandy,Y,Yes,,
NO23,F,33.35,4.90,0.92,green,Y,No,black mark on last abdomen and telson,
NO24,M,44.55,6.65,2.04,green,Y,No,,
NO25,F,29.80,4.00,0.69,Green/crème speckled,Y,No,,
NO26,F,27.05,3.75,0.52,sandy,Y,Yes (little),,
NO27,F,20.70,2.25,0.23,sandy,Y,Yes,,
NO28,F,27.90,3.60,0.55,Green with some white speckles,Y,No,0.12,"Bright green, no eye spot"
NO29,M,30.20,4.30,0.52,Green/crème speckled,N,,,Lost an arm moulting
NO30,M,30.40,4.25,0.62,Green with some white speckles,Y,No,,lost part of arm
NO31,M,20.85,2.20,0.21,Sandy,Y,Yes,,
NO32,M,19.75,1.90,0.18,Green,Y,Yes,,
NO33,M,31.35,4.35,0.65,Green,Y,No,,
NO34,F,39.20,5.60,1.29,Sandy,Y,No,0.26,"Bright green, no eye spot, many little cells"
NO35,F,35.10,4.85,0.91,Sandy,Y,No,,
NO36,F,26.95,2.85,0.45,Sandy,Y,Maybe on one arm,,
NO37,F,22.65,2.45,0.24,Sandy,Y,Yes,,
NO38,F,22.15,2.35,0.28,Sandy,Y,Yes,,
NO39,M,18.70,2.05,0.20,sandy,Y,Yes,,
NO41,F,38.55,5.70,1.21,Browny/green,N,,,
